Material_Quality,Concrete_Grade,Steel_Grade,Age_of_Building,No_of_Floors,Foundation_Depth,Soil_Type,Seismic_Zone,Load_Bearing_Capacity,Moisture_Exposure,Maintenance_Frequency,Strength,Durability
7,M20,Fe415,6,21,5.8,Clay,V,160,Medium,1,83.21,54.7
9,M25,Fe500,22,8,9.3,Rocky,I,538,Low,5,89.76,75.95
3,M25,Fe500,12,20,14.0,Loam,V,342,Low,1,44.39,35.42
2,M30,Fe500,0,13,20.0,Loam,V,496,Medium,2,73.22,50.45
9,M30,Fe500,6,4,10.2,Clay,I,342,Medium,2,98.96,64.62
2,M40,Fe500,54,21,12.4,Rocky,I,167,Low,1,69.55,49.48
1,M30,Fe500,53,16,18.5,Sandy,II,445,High,4,52.86,37.25
4,M25,Fe500,5,2,5.5,Loam,V,221,Medium,3,41.61,37.5
2,M20,Fe500,55,3,14.0,Rocky,III,269,High,5,46.92,31.22
8,M25,Fe415,53,20,4.2,Loam,II,443,Medium,3,90.32,60.61
4,M20,Fe415,33,11,7.4,Clay,V,205,Low,2,58.38,42.69
10,M40,Fe415,4,14,9.5,Sandy,IV,391,Medium,2,113.43,65.5
8,M20,Fe415,6,16,19.1,Loam,I,370,Medium,0,107.46,67.59
1,M30,Fe415,34,16,12.8,Loam,III,322,High,5,44.27,24.33
9,M25,Fe415,30,23,14.3,Rocky,I,481,Medium,5,102.67,79.19
7,M40,Fe500,42,3,8.8,Rocky,V,243,Medium,2,101.81,64.01
10,M25,Fe500,4,3,16.5,Sandy,V,419,Low,1,113.21,84.82
3,M30,Fe500,54,8,19.4,Loam,III,254,Low,1,78.85,54.87
10,M25,Fe415,10,2,16.5,Loam,IV,296,Medium,1,111.79,75.95
1,M40,Fe500,58,3,13.2,Clay,I,529,Low,3,66.96,61.38
8,M25,Fe415,17,16,9.8,Rocky,III,211,High,2,93.58,51.11
7,M30,Fe415,46,16,3.5,Sandy,III,443,Medium,2,81.78,53.84
7,M30,Fe415,11,5,17.4,Rocky,II,474,Medium,0,82.07,45.1
8,M25,Fe500,28,18,19.5,Sandy,III,598,Medium,3,99.19,71.78
6,M20,Fe500,3,7,4.5,Sandy,I,583,High,4,60.27,35.2
5,M40,Fe500,53,16,18.8,Loam,V,341,Medium,1,95.3,63.57
3,M25,Fe500,2,22,3.2,Rocky,II,415,Low,3,43.84,32.93
7,M40,Fe500,18,23,4.4,Rocky,V,315,Medium,3,105.97,78.0
3,M20,Fe500,49,24,17.3,Clay,II,571,Medium,0,58.99,28.43
5,M25,Fe500,48,4,9.3,Loam,V,394,Medium,3,69.96,49.39
6,M30,Fe415,15,1,10.5,Loam,III,509,High,4,72.37,44.43
4,M20,Fe415,10,19,4.4,Rocky,V,286,High,3,61.03,24.12
3,M20,Fe415,29,23,4.7,Rocky,III,155,Low,5,49.66,40.55
8,M40,Fe500,9,23,12.4,Rocky,I,364,Medium,1,130.01,81.3
6,M30,Fe415,27,17,16.7,Clay,II,458,Medium,1,103.34,60.09
7,M20,Fe415,49,13,18.2,Sandy,V,499,Low,1,107.12,77.26
8,M20,Fe500,54,4,14.4,Rocky,III,439,Low,3,71.01,62.41
6,M40,Fe415,4,19,3.3,Rocky,III,277,High,1,99.29,54.37
9,M20,Fe500,46,17,12.7,Clay,II,470,Medium,0,102.25,69.88
9,M30,Fe415,23,22,13.0,Sandy,IV,160,Low,0,126.59,87.66
3,M40,Fe415,0,17,17.3,Clay,II,216,Medium,4,73.91,46.11
5,M40,Fe500,18,23,13.4,Loam,II,219,High,2,106.55,63.62
1,M20,Fe415,46,1,19.0,Rocky,I,553,Medium,0,25.83,12.14
9,M30,Fe500,1,12,15.9,Sandy,II,497,Medium,5,110.45,75.22
1,M20,Fe415,29,13,13.6,Rocky,III,596,Medium,5,47.53,39.25
6,M25,Fe415,37,20,4.4,Rocky,I,404,Low,2,70.25,48.92
1,M40,Fe500,45,17,4.1,Clay,III,536,Low,2,39.29,22.75
8,M20,Fe500,59,4,17.3,Loam,III,299,High,2,104.56,58.41
3,M20,Fe500,34,11,5.7,Loam,IV,484,Low,2,40.94,27.02
2,M40,Fe415,3,17,11.3,Loam,II,297,High,2,75.13,34.03
3,M30,Fe415,16,18,9.9,Rocky,III,517,High,0,56.77,23.91
3,M40,Fe500,9,9,11.5,Sandy,I,470,High,3,56.21,30.73
6,M20,Fe415,21,18,18.0,Clay,III,342,High,3,109.38,68.81
4,M40,Fe415,29,17,11.6,Loam,III,291,High,2,96.91,52.68
8,M20,Fe415,35,10,7.4,Sandy,I,348,High,3,61.3,36.48
1,M30,Fe500,22,3,7.2,Sandy,III,338,Low,2,39.19,39.38
10,M25,Fe500,12,1,6.6,Loam,V,385,High,5,86.69,50.72
9,M20,Fe415,22,13,18.4,Clay,III,399,Low,3,119.21,91.7
4,M40,Fe415,16,3,10.2,Loam,II,329,High,1,84.64,44.2
9,M20,Fe415,51,8,19.0,Clay,V,500,Medium,5,112.65,85.82
5,M20,Fe500,28,13,6.5,Rocky,IV,362,Medium,4,58.75,48.22
8,M20,Fe500,38,8,18.4,Clay,V,237,Low,5,105.14,96.9
8,M40,Fe415,43,20,18.5,Clay,V,240,Medium,5,138.38,108.71
9,M20,Fe415,19,20,13.4,Sandy,II,271,High,2,115.9,77.12
8,M20,Fe500,40,11,4.5,Sandy,III,235,Low,1,84.43,67.98
9,M40,Fe500,5,22,12.2,Sandy,II,571,High,0,135.7,72.01
9,M30,Fe500,44,20,16.8,Sandy,V,549,Low,3,121.05,102.33
2,M40,Fe500,51,15,7.8,Rocky,I,455,Low,1,57.22,39.1
4,M30,Fe500,49,13,6.0,Clay,II,274,Low,0,65.24,50.52
6,M20,Fe500,46,16,8.8,Sandy,II,547,Low,1,84.9,60.77
1,M25,Fe500,32,4,7.9,Sandy,II,174,High,1,29.17,3.89
9,M30,Fe415,34,20,8.8,Clay,III,432,High,3,104.97,67.44
1,M40,Fe415,43,8,9.3,Clay,II,262,Low,5,51.05,48.41
10,M30,Fe415,35,15,8.6,Clay,V,310,High,0,109.87,52.81
9,M20,Fe415,41,19,14.1,Sandy,V,472,Medium,2,99.77,75.74
8,M25,Fe500,12,12,15.5,Clay,V,165,Medium,5,92.15,73.09
8,M20,Fe500,13,19,12.9,Sandy,III,347,Medium,5,87.92,65.47
6,M40,Fe500,4,10,15.7,Rocky,II,324,Medium,4,95.9,60.61
9,M30,Fe500,17,5,16.4,Clay,III,175,Medium,3,107.4,72.57
9,M20,Fe415,59,2,8.0,Clay,II,279,Low,4,93.57,75.38
7,M30,Fe500,24,17,9.4,Loam,II,590,Low,1,93.66,67.23
8,M20,Fe500,45,20,16.9,Clay,V,200,Medium,5,94.41,65.41
3,M30,Fe415,22,6,14.2,Sandy,II,276,Medium,3,54.99,34.69
5,M30,Fe500,10,17,5.6,Sandy,V,204,Medium,4,61.7,38.97
7,M20,Fe500,23,4,7.5,Clay,V,183,High,0,83.52,42.6
3,M25,Fe500,10,22,13.7,Rocky,I,342,Medium,0,67.02,35.28
3,M30,Fe415,46,24,19.0,Clay,I,498,High,5,82.19,42.32
8,M40,Fe415,9,6,17.5,Loam,III,329,Low,3,117.43,104.29
4,M30,Fe415,30,10,8.9,Sandy,V,443,High,0,53.21,27.35
3,M30,Fe415,49,22,17.3,Clay,III,274,Low,1,80.03,69.73
9,M25,Fe415,37,12,6.5,Sandy,IV,266,Low,0,90.81,69.87
6,M40,Fe415,7,15,13.5,Rocky,III,468,High,2,103.04,50.38
9,M25,Fe415,45,7,17.0,Sandy,V,267,Low,0,107.32,64.07
6,M40,Fe415,32,1,17.4,Clay,V,464,Medium,3,78.22,51.91
10,M30,Fe415,10,7,17.2,Clay,II,176,Low,3,127.59,98.07
9,M40,Fe500,17,13,17.1,Sandy,IV,309,Low,4,126.41,99.48
9,M30,Fe500,50,13,6.3,Rocky,III,533,Low,3,96.05,79.86
2,M20,Fe415,59,5,11.1,Clay,II,366,Medium,2,22.59,9.56
2,M40,Fe415,25,6,4.4,Clay,II,529,High,0,38.1,-0.4
6,M25,Fe500,7,24,6.5,Sandy,I,337,High,3,71.05,40.74
1,M25,Fe500,31,14,18.3,Loam,I,561,Medium,5,41.09,41.36
4,M40,Fe415,6,24,11.0,Rocky,I,357,Medium,0,86.8,58.18
7,M40,Fe500,3,14,15.2,Clay,IV,598,Low,2,110.92,85.99
7,M30,Fe415,10,11,7.4,Rocky,IV,304,Medium,1,94.29,54.77
9,M20,Fe415,33,23,11.7,Clay,III,344,Low,3,95.91,81.32
6,M25,Fe415,41,4,15.9,Sandy,I,300,Low,1,87.43,70.62
9,M25,Fe500,38,13,7.2,Sandy,II,463,Medium,0,88.17,53.78
10,M20,Fe500,35,16,11.3,Clay,II,174,Low,4,103.6,89.3
1,M40,Fe415,10,1,16.9,Sandy,IV,205,High,1,63.51,18.2
2,M20,Fe500,23,12,17.5,Clay,IV,289,High,1,61.95,19.52
7,M20,Fe415,49,23,18.8,Clay,III,180,High,3,100.24,64.07
3,M25,Fe415,18,6,8.0,Clay,V,426,High,3,28.4,10.97
6,M20,Fe500,23,8,5.3,Sandy,IV,470,High,5,59.7,33.41
10,M40,Fe415,31,14,10.9,Rocky,IV,512,Low,5,133.18,104.62
7,M40,Fe500,31,11,10.6,Rocky,II,171,Medium,0,106.04,76.96
10,M40,Fe415,40,1,14.1,Clay,V,461,Low,4,120.94,97.41
6,M30,Fe500,16,24,17.6,Clay,III,487,Medium,0,110.01,69.68
3,M30,Fe415,45,3,3.3,Rocky,IV,216,High,2,50.02,25.12
3,M40,Fe415,19,6,6.7,Clay,I,598,Low,1,55.23,44.45
2,M20,Fe415,53,22,6.0,Rocky,I,155,Low,2,46.05,38.53
6,M25,Fe500,31,14,10.8,Loam,III,433,Low,1,79.98,61.45
1,M20,Fe500,8,7,8.9,Sandy,I,536,High,4,28.42,16.58
4,M25,Fe415,26,14,5.2,Clay,II,581,Medium,1,50.33,18.91
2,M40,Fe500,38,22,3.3,Loam,IV,415,High,3,47.61,10.71
6,M40,Fe415,44,14,3.3,Rocky,IV,245,Low,5,83.77,76.24
9,M25,Fe415,4,20,19.6,Rocky,IV,299,Low,2,129.08,99.55
10,M30,Fe500,55,16,7.8,Rocky,V,378,Low,2,109.92,78.79
9,M40,Fe500,34,15,8.6,Clay,II,318,High,2,119.78,79.32
7,M20,Fe415,40,19,15.5,Rocky,III,194,High,2,93.88,49.91
5,M20,Fe415,14,12,11.5,Sandy,IV,373,Medium,5,77.26,51.88
3,M30,Fe415,49,13,6.1,Sandy,I,335,Medium,3,55.85,39.69
10,M20,Fe415,46,19,9.4,Rocky,III,409,Medium,5,98.98,65.84
1,M20,Fe500,38,17,6.1,Sandy,II,404,Low,2,38.06,24.16
8,M20,Fe415,53,7,14.8,Rocky,IV,516,Low,3,84.63,59.53
1,M40,Fe500,20,17,5.0,Clay,V,315,Low,1,50.5,50.27
6,M40,Fe415,10,10,13.6,Clay,III,359,Low,1,96.42,69.9
4,M30,Fe500,48,10,7.3,Sandy,IV,327,Medium,4,48.22,40.18
6,M25,Fe415,39,11,17.8,Rocky,IV,597,Low,4,99.42,89.24
2,M20,Fe415,4,21,15.0,Loam,I,534,Low,3,66.99,56.82
9,M20,Fe415,27,22,5.6,Clay,II,488,Medium,1,115.35,69.91
2,M40,Fe415,24,8,4.5,Sandy,III,152,Low,5,45.81,59.59
4,M40,Fe415,10,7,5.7,Sandy,V,385,High,2,67.73,42.58
3,M25,Fe415,40,3,5.3,Rocky,IV,151,Low,2,19.12,25.49
10,M30,Fe500,18,20,13.5,Loam,IV,289,High,5,131.5,82.43
4,M20,Fe500,32,16,9.0,Clay,I,303,Low,3,59.56,54.51
9,M25,Fe500,29,7,10.6,Sandy,II,362,Medium,0,101.0,56.16
3,M40,Fe415,18,17,8.5,Rocky,I,442,Medium,4,77.92,69.21
3,M40,Fe500,8,4,10.2,Sandy,I,290,Medium,0,73.96,38.75
6,M20,Fe500,10,22,12.9,Rocky,II,229,High,4,72.35,55.21
1,M30,Fe415,16,23,4.8,Clay,III,477,Low,4,32.86,41.48
10,M30,Fe415,44,10,4.1,Clay,II,525,Medium,0,99.85,52.08
5,M40,Fe415,42,9,18.4,Sandy,I,505,High,4,87.44,42.42
6,M30,Fe500,18,21,7.5,Sandy,IV,234,High,0,77.98,38.78
10,M40,Fe415,31,20,16.0,Clay,II,222,High,0,149.8,82.51
6,M40,Fe415,40,21,8.1,Rocky,V,543,Low,3,105.33,88.16
3,M40,Fe415,30,17,10.8,Loam,II,524,High,4,77.4,41.57
3,M40,Fe500,4,15,15.5,Rocky,IV,182,Low,3,78.28,71.87
6,M20,Fe500,0,2,19.1,Sandy,I,538,High,3,83.3,46.03
10,M20,Fe415,41,3,16.7,Loam,II,184,High,3,111.97,73.54
6,M25,Fe500,48,16,19.2,Sandy,IV,387,High,1,86.73,45.44
5,M30,Fe500,26,2,6.3,Rocky,I,163,Low,5,60.43,59.23
9,M40,Fe415,2,12,3.7,Loam,III,269,Medium,2,117.97,68.68
5,M20,Fe500,26,6,17.3,Loam,IV,193,Medium,5,55.21,47.4
9,M20,Fe415,3,24,17.9,Rocky,III,322,Low,1,112.39,78.45
7,M25,Fe500,0,22,16.2,Sandy,III,353,High,5,108.64,61.13
6,M25,Fe500,20,17,8.9,Clay,V,300,High,1,87.77,36.65
5,M20,Fe500,32,13,16.5,Rocky,IV,253,Medium,1,72.32,42.08
8,M30,Fe500,33,6,5.1,Loam,III,401,High,3,67.21,26.94
1,M40,Fe500,36,12,19.1,Sandy,IV,454,High,2,63.1,31.19
5,M30,Fe500,20,7,17.6,Sandy,III,244,Medium,2,79.16,60.3
9,M20,Fe500,29,9,6.7,Clay,IV,576,High,4,84.33,67.91
5,M25,Fe415,39,2,17.6,Sandy,IV,434,Low,0,85.03,52.49
3,M20,Fe415,10,24,9.8,Loam,I,329,High,5,43.48,31.67
7,M40,Fe500,40,7,4.2,Clay,I,163,Medium,4,90.72,56.53
8,M25,Fe415,56,4,19.0,Clay,III,338,Low,5,95.26,85.41
8,M30,Fe500,31,10,15.9,Rocky,II,266,Low,2,111.46,86.94
7,M40,Fe500,34,6,16.7,Clay,II,494,Medium,0,96.98,62.58
7,M30,Fe415,15,11,4.1,Loam,IV,445,Medium,0,80.99,48.49
4,M40,Fe415,5,7,15.6,Clay,III,329,Low,0,65.19,55.18
4,M20,Fe500,13,6,18.2,Rocky,IV,549,High,3,65.28,43.58
3,M40,Fe500,40,17,16.1,Rocky,V,420,High,3,89.34,55.31
2,M30,Fe415,25,11,7.8,Sandy,III,583,Medium,1,45.45,22.09
1,M20,Fe415,4,21,8.0,Sandy,I,483,Low,2,39.29,24.57
5,M40,Fe500,33,1,13.8,Loam,IV,566,Medium,4,73.93,60.63
9,M25,Fe415,52,2,17.8,Loam,III,576,Medium,1,101.34,65.44
8,M20,Fe500,55,9,5.4,Sandy,V,228,Low,3,95.75,85.45
5,M40,Fe415,43,14,12.4,Sandy,IV,524,Medium,1,99.73,59.58
2,M40,Fe500,35,11,11.5,Clay,III,463,Medium,4,67.36,43.35
1,M25,Fe415,18,8,8.2,Loam,I,345,High,5,18.45,5.61
5,M20,Fe415,53,4,6.9,Rocky,IV,231,Low,4,49.23,42.6
7,M40,Fe500,18,11,3.5,Loam,III,531,High,5,88.42,45.4
7,M20,Fe415,28,3,16.1,Sandy,V,412,Medium,3,88.81,55.85
3,M20,Fe415,24,19,9.8,Rocky,II,160,Medium,3,50.16,34.39
7,M25,Fe415,33,14,16.5,Loam,V,379,Low,0,85.2,68.41
5,M40,Fe415,19,17,8.3,Rocky,I,440,Medium,3,83.65,62.63
1,M20,Fe415,54,15,10.0,Sandy,I,535,Medium,5,30.01,15.39
2,M30,Fe415,33,21,4.5,Rocky,I,524,Low,3,49.38,43.32
4,M30,Fe415,20,4,18.9,Sandy,III,557,Medium,5,68.3,60.74
5,M25,Fe415,32,9,13.5,Loam,IV,404,High,0,81.7,41.47
3,M20,Fe500,26,13,11.0,Clay,IV,328,Medium,2,45.82,25.08
3,M20,Fe500,55,1,11.5,Loam,I,446,Low,5,41.96,45.83
1,M20,Fe415,10,24,6.0,Rocky,V,295,High,3,37.0,16.53
7,M20,Fe415,21,4,19.7,Sandy,II,267,Medium,2,79.34,48.5
1,M40,Fe415,29,24,13.9,Loam,II,529,Medium,1,55.88,29.62
6,M25,Fe415,32,1,14.6,Loam,I,584,Low,2,70.72,68.86
1,M25,Fe415,9,15,18.3,Sandy,III,248,Medium,3,48.65,38.52
4,M20,Fe500,50,15,16.3,Clay,III,151,Low,4,58.65,50.53
4,M25,Fe500,38,13,14.6,Sandy,V,156,Low,3,73.5,58.63
2,M20,Fe500,18,23,10.1,Rocky,V,266,Medium,0,53.05,17.28
4,M20,Fe415,16,14,11.5,Loam,II,315,High,4,73.61,45.29
8,M40,Fe415,28,22,14.0,Clay,IV,319,Low,3,126.17,97.91
4,M30,Fe415,41,16,5.2,Clay,III,556,High,4,63.61,60.1
7,M25,Fe500,47,13,10.4,Rocky,IV,582,Medium,2,98.62,65.64
9,M25,Fe500,7,10,11.2,Clay,V,344,Medium,0,102.69,58.19
9,M25,Fe415,56,18,5.3,Sandy,III,403,High,5,90.85,57.46
1,M20,Fe500,2,13,8.5,Sandy,V,321,Medium,2,38.7,17.69
7,M40,Fe415,39,6,12.9,Loam,IV,193,High,5,99.26,65.14
6,M20,Fe415,19,13,11.2,Clay,III,183,High,1,62.63,24.59
8,M20,Fe415,11,8,3.2,Loam,V,366,Medium,4,75.22,59.47
5,M25,Fe415,17,5,19.4,Rocky,II,285,Low,0,70.08,51.68
7,M40,Fe415,5,22,17.6,Sandy,I,315,Medium,0,119.48,78.4
4,M25,Fe500,0,22,17.1,Rocky,I,190,High,5,75.66,50.45
6,M30,Fe415,22,9,17.5,Sandy,I,553,Low,1,86.35,68.97
6,M20,Fe500,28,16,13.6,Rocky,V,249,Medium,2,74.42,49.91
5,M25,Fe500,45,4,4.3,Sandy,V,411,Medium,3,40.32,26.34
2,M20,Fe415,30,13,18.9,Clay,V,352,Low,5,51.5,48.23
1,M30,Fe415,55,12,7.8,Sandy,III,500,Low,5,40.73,48.24
1,M20,Fe415,47,21,8.4,Clay,III,216,Medium,0,44.5,20.27
7,M25,Fe500,56,5,5.9,Rocky,I,312,High,3,63.23,28.99
6,M25,Fe500,52,1,14.6,Clay,I,547,Low,5,83.07,75.51
9,M25,Fe415,29,8,14.8,Rocky,II,425,Low,5,111.41,95.79
4,M40,Fe415,17,22,4.4,Loam,V,424,Low,1,56.31,45.27
6,M25,Fe415,32,3,6.2,Loam,I,311,High,0,53.07,15.1
8,M40,Fe500,39,16,11.5,Rocky,III,278,High,2,118.58,72.94
1,M40,Fe415,47,11,12.9,Sandy,V,473,High,1,50.99,23.05
10,M30,Fe500,25,24,4.0,Rocky,V,316,Low,1,106.62,74.21
4,M40,Fe415,11,20,14.6,Loam,II,233,High,1,94.08,39.96
6,M20,Fe415,30,22,4.4,Clay,V,465,Medium,4,84.22,59.75
8,M25,Fe500,17,16,9.3,Sandy,V,397,Low,4,87.3,68.23
2,M40,Fe415,43,16,3.4,Clay,III,353,Medium,1,53.69,32.13
10,M20,Fe500,53,17,3.9,Rocky,IV,538,Medium,2,98.72,62.6
9,M30,Fe500,27,15,12.4,Rocky,I,400,Medium,1,131.71,83.79
5,M25,Fe415,31,16,18.2,Clay,IV,285,Low,5,74.08,58.86
9,M40,Fe415,59,2,18.9,Rocky,II,214,High,5,124.12,86.66
6,M40,Fe415,57,7,5.6,Rocky,V,371,High,2,91.13,51.98
2,M20,Fe500,12,5,17.6,Clay,I,498,Low,5,41.7,58.13
1,M25,Fe500,0,10,6.1,Rocky,I,376,High,2,13.7,-4.02
7,M20,Fe500,11,17,8.3,Clay,I,166,Medium,5,91.55,78.84
5,M30,Fe415,55,3,10.7,Rocky,V,150,Low,3,67.36,59.78
7,M40,Fe415,40,21,4.7,Loam,V,490,Low,1,102.21,74.68
2,M30,Fe415,37,2,19.3,Clay,II,192,Medium,2,57.41,31.88
10,M40,Fe500,5,17,9.2,Clay,IV,325,Medium,2,129.41,90.37
10,M25,Fe500,33,7,5.1,Loam,I,500,High,3,105.74,60.23
3,M30,Fe415,53,22,8.5,Sandy,IV,284,Low,4,62.66,49.43
8,M30,Fe500,45,13,6.5,Rocky,II,474,High,2,94.66,58.03
3,M30,Fe500,9,9,17.8,Rocky,II,436,Medium,2,81.13,53.68
8,M20,Fe500,45,24,8.4,Rocky,II,342,Low,2,99.64,77.94
1,M20,Fe500,31,18,12.3,Clay,I,321,Medium,5,43.23,32.77
8,M30,Fe500,35,17,3.4,Clay,IV,301,Low,0,98.52,61.55
4,M40,Fe500,2,9,14.1,Rocky,II,411,Low,5,87.57,83.08
6,M40,Fe415,46,19,10.5,Loam,III,319,Low,1,93.86,68.1
6,M30,Fe500,27,6,9.5,Sandy,III,447,Medium,2,89.28,66.61
4,M25,Fe415,43,20,11.9,Rocky,V,172,Low,1,55.15,38.2
6,M30,Fe415,58,13,6.7,Rocky,II,163,High,3,86.45,54.28
9,M40,Fe500,47,16,19.8,Rocky,III,530,Medium,2,138.91,101.45
8,M25,Fe500,28,15,7.3,Loam,II,204,Low,1,76.31,60.63
1,M20,Fe415,51,24,10.7,Rocky,IV,461,High,5,46.49,33.59
9,M25,Fe500,6,5,3.9,Sandy,III,477,Medium,0,86.96,48.34
4,M20,Fe415,38,13,6.2,Clay,V,331,High,4,37.29,21.76
7,M25,Fe415,17,7,9.0,Rocky,III,509,High,1,70.57,26.06
2,M20,Fe415,46,8,19.6,Clay,III,228,Medium,1,60.6,47.33
1,M25,Fe500,53,18,19.7,Loam,III,563,Low,2,45.26,44.33
3,M20,Fe415,3,12,7.1,Rocky,V,462,High,5,28.47,11.31
7,M40,Fe415,7,16,19.5,Sandy,I,218,Medium,1,121.13,75.71
6,M25,Fe415,35,5,10.7,Clay,I,543,Medium,5,82.62,68.65
1,M30,Fe415,1,24,13.5,Loam,III,255,Medium,5,53.02,45.16
10,M40,Fe415,49,7,14.7,Loam,V,254,High,5,150.37,96.99
6,M20,Fe500,5,3,13.2,Loam,IV,241,Medium,4,71.28,45.54
3,M20,Fe500,24,6,9.3,Sandy,V,510,Medium,3,49.31,43.1
8,M20,Fe500,38,10,12.4,Rocky,I,449,High,3,95.94,53.14
8,M20,Fe415,18,18,19.2,Sandy,IV,344,Low,3,98.83,75.56
8,M30,Fe415,24,17,14.6,Rocky,IV,300,Medium,3,101.11,68.99
2,M30,Fe500,19,7,3.9,Clay,V,434,Low,5,34.7,42.71
8,M25,Fe415,14,14,7.6,Clay,III,211,Medium,3,78.14,48.79
5,M25,Fe500,37,14,14.1,Sandy,III,346,Low,3,77.13,72.17
6,M40,Fe415,19,9,9.0,Rocky,III,380,High,5,87.23,51.54
6,M30,Fe415,41,13,3.6,Loam,III,251,High,1,68.62,32.29
2,M20,Fe500,18,23,8.1,Rocky,III,182,Low,4,47.74,44.19
5,M25,Fe415,45,21,14.2,Loam,I,150,Low,1,66.71,56.45
3,M20,Fe415,36,11,3.9,Sandy,IV,348,Low,3,23.92,29.42
6,M40,Fe500,23,1,8.0,Loam,III,550,Medium,2,70.43,57.86
3,M30,Fe415,11,22,6.7,Rocky,II,325,Medium,5,76.29,69.51
5,M25,Fe500,34,13,17.5,Loam,V,596,Low,0,74.68,49.26
1,M30,Fe500,35,7,16.7,Sandy,IV,444,High,2,49.24,21.75
10,M40,Fe415,36,6,15.5,Loam,III,478,Medium,3,121.27,88.72
7,M25,Fe415,11,2,3.9,Rocky,V,247,Low,4,70.72,58.98
7,M30,Fe500,52,20,6.2,Sandy,V,272,Medium,2,87.01,40.66
9,M30,Fe415,42,10,8.6,Sandy,II,518,Low,5,105.88,92.49
9,M40,Fe415,45,21,8.7,Clay,II,322,Medium,2,120.53,81.84
8,M30,Fe415,33,18,9.5,Sandy,III,489,High,2,102.93,47.55
1,M20,Fe415,55,1,14.3,Sandy,II,288,Low,1,8.13,-3.55
1,M40,Fe415,6,18,11.7,Loam,I,528,Medium,5,45.55,30.45
2,M20,Fe500,36,2,7.4,Sandy,II,254,Medium,2,29.46,19.57
4,M30,Fe415,15,16,19.5,Loam,I,382,Medium,4,72.41,57.01
6,M40,Fe500,25,14,5.5,Sandy,IV,331,Low,4,90.05,79.87
6,M20,Fe500,16,4,7.5,Rocky,II,560,High,5,59.56,38.53
1,M40,Fe415,54,10,18.7,Rocky,II,261,Low,3,70.21,60.65
7,M30,Fe415,22,4,12.6,Loam,IV,535,Low,4,79.19,69.88
1,M30,Fe500,0,1,5.0,Clay,V,441,Low,1,22.24,19.68
10,M40,Fe500,39,10,15.2,Sandy,V,296,High,5,125.01,67.6
8,M30,Fe500,4,2,5.4,Clay,V,255,High,2,84.78,55.64
5,M25,Fe415,39,22,14.1,Rocky,V,320,Medium,3,83.13,54.99
7,M25,Fe500,31,20,5.9,Sandy,I,230,High,4,82.63,46.22
1,M25,Fe415,50,16,16.8,Sandy,V,378,Low,0,51.58,36.96
8,M40,Fe415,48,5,7.5,Rocky,I,557,Medium,1,87.21,49.99
8,M25,Fe500,25,6,15.5,Rocky,V,557,Medium,2,78.64,47.29
4,M20,Fe500,11,17,7.1,Rocky,III,482,High,3,59.03,21.39
1,M25,Fe415,4,20,17.7,Loam,I,397,Medium,2,57.0,44.24
8,M25,Fe415,10,8,9.5,Loam,IV,306,High,3,87.51,41.39
1,M40,Fe415,1,5,18.9,Sandy,I,454,Medium,1,73.59,47.77
6,M25,Fe415,24,14,18.7,Sandy,I,195,Low,1,83.7,63.15
8,M40,Fe500,32,7,13.6,Rocky,IV,276,Medium,3,117.18,85.96
5,M30,Fe415,59,22,3.5,Sandy,II,421,Medium,2,71.6,42.72
2,M25,Fe500,53,21,18.0,Loam,I,294,High,5,60.01,34.11
6,M20,Fe500,56,6,7.9,Sandy,II,423,Medium,4,57.9,51.45
4,M40,Fe500,28,13,3.3,Loam,III,426,Medium,3,72.11,51.45
4,M25,Fe500,37,13,5.4,Loam,II,180,High,1,53.35,25.33
2,M40,Fe415,43,21,11.8,Rocky,II,285,Low,4,78.92,59.6
2,M40,Fe500,24,3,3.5,Sandy,I,172,High,2,44.25,9.7
5,M20,Fe500,1,20,19.1,Sandy,I,436,High,1,91.64,46.92
2,M30,Fe415,12,2,4.3,Loam,III,320,Low,4,25.69,36.57
6,M20,Fe500,27,15,5.0,Clay,II,246,High,1,62.86,26.44
4,M30,Fe500,31,20,10.3,Clay,II,598,High,2,84.26,36.83
4,M25,Fe415,13,1,8.0,Sandy,V,576,Low,4,36.46,30.53
4,M25,Fe500,4,13,18.4,Rocky,V,599,Medium,3,72.12,46.5
9,M40,Fe415,5,18,3.2,Sandy,IV,270,Medium,5,92.92,79.39
5,M20,Fe500,1,17,19.6,Rocky,II,230,Medium,0,93.97,50.81
9,M20,Fe415,15,6,5.8,Sandy,III,312,Low,4,80.77,67.75
8,M40,Fe415,2,19,5.4,Sandy,I,229,High,1,111.3,72.03
2,M40,Fe415,39,23,10.9,Rocky,IV,542,Low,3,62.51,49.48
8,M25,Fe500,24,18,10.2,Rocky,II,434,Medium,4,111.89,81.18
2,M20,Fe415,24,21,7.0,Rocky,IV,441,Medium,3,43.78,16.3
5,M30,Fe415,18,1,5.7,Sandy,III,273,High,1,48.47,21.71
9,M30,Fe415,35,13,5.0,Rocky,I,530,Medium,1,96.74,55.08
6,M40,Fe415,33,15,11.6,Clay,V,395,Medium,1,88.52,54.92
9,M25,Fe500,13,21,4.5,Clay,IV,220,High,4,97.68,59.0
10,M30,Fe415,27,18,14.2,Loam,V,280,Low,5,120.83,87.81
7,M30,Fe415,18,18,6.6,Loam,II,272,Medium,4,94.5,61.35
9,M30,Fe415,0,12,12.7,Rocky,I,290,High,0,100.06,45.93
